value,date,realtime_end,realtime_start
64.5,1984-01-01,2018-11-16,2018-11-16
63.9,1985-01-01,2018-11-16,2018-11-16
63.8,1986-01-01,2018-11-16,2018-11-16
64.0,1987-01-01,2018-11-16,2018-11-16
63.8,1988-01-01,2018-11-16,2018-11-16
63.9,1989-01-01,2018-11-16,2018-11-16
63.9,1990-01-01,2018-11-16,2018-11-16
64.1,1991-01-01,2018-11-16,2018-11-16
64.1,1992-01-01,2018-11-16,2018-11-16
64.0,1993-01-01,2018-11-16,2018-11-16
64.0,1994-01-01,2018-11-16,2018-11-16
64.7,1995-01-01,2018-11-16,2018-11-16
65.4,1996-01-01,2018-11-16,2018-11-16
65.7,1997-01-01,2018-11-16,2018-11-16
66.3,1998-01-01,2018-11-16,2018-11-16
66.8,1999-01-01,2018-11-16,2018-11-16
67.4,2000-01-01,2018-11-16,2018-11-16
67.8,2001-01-01,2018-11-16,2018-11-16
67.9,2002-01-01,2018-11-16,2018-11-16
68.3,2003-01-01,2018-11-16,2018-11-16
69.0,2004-01-01,2018-11-16,2018-11-16
68.9,2005-01-01,2018-11-16,2018-11-16
68.8,2006-01-01,2018-11-16,2018-11-16
68.1,2007-01-01,2018-11-16,2018-11-16
67.8,2008-01-01,2018-11-16,2018-11-16
67.4,2009-01-01,2018-11-16,2018-11-16
66.9,2010-01-01,2018-11-16,2018-11-16
66.1,2011-01-01,2018-11-16,2018-11-16
65.4,2012-01-01,2018-11-16,2018-11-16
65.1,2013-01-01,2018-11-16,2018-11-16
64.5,2014-01-01,2018-11-16,2018-11-16
63.7,2015-01-01,2018-11-16,2018-11-16
63.4,2016-01-01,2018-11-16,2018-11-16
63.9,2017-01-01,2018-11-16,2018-11-16
