value,date,realtime_end,realtime_start
76094000,1900-01-01,2018-11-16,2018-11-16
77584000,1901-01-01,2018-11-16,2018-11-16
79163000,1902-01-01,2018-11-16,2018-11-16
80632000,1903-01-01,2018-11-16,2018-11-16
82166000,1904-01-01,2018-11-16,2018-11-16
83822000,1905-01-01,2018-11-16,2018-11-16
85450000,1906-01-01,2018-11-16,2018-11-16
87008000,1907-01-01,2018-11-16,2018-11-16
88710000,1908-01-01,2018-11-16,2018-11-16
90490000,1909-01-01,2018-11-16,2018-11-16
92407000,1910-01-01,2018-11-16,2018-11-16
93863000,1911-01-01,2018-11-16,2018-11-16
95335000,1912-01-01,2018-11-16,2018-11-16
97225000,1913-01-01,2018-11-16,2018-11-16
99111000,1914-01-01,2018-11-16,2018-11-16
100546000,1915-01-01,2018-11-16,2018-11-16
101961000,1916-01-01,2018-11-16,2018-11-16
103268000,1917-01-01,2018-11-16,2018-11-16
103208000,1918-01-01,2018-11-16,2018-11-16
104514000,1919-01-01,2018-11-16,2018-11-16
106461000,1920-01-01,2018-11-16,2018-11-16
108538000,1921-01-01,2018-11-16,2018-11-16
110049000,1922-01-01,2018-11-16,2018-11-16
111947000,1923-01-01,2018-11-16,2018-11-16
114109000,1924-01-01,2018-11-16,2018-11-16
115829000,1925-01-01,2018-11-16,2018-11-16
117397000,1926-01-01,2018-11-16,2018-11-16
119035000,1927-01-01,2018-11-16,2018-11-16
120509000,1928-01-01,2018-11-16,2018-11-16
121767000,1929-01-01,2018-11-16,2018-11-16
123076741,1930-01-01,2018-11-16,2018-11-16
124039648,1931-01-01,2018-11-16,2018-11-16
124840471,1932-01-01,2018-11-16,2018-11-16
125578763,1933-01-01,2018-11-16,2018-11-16
126373773,1934-01-01,2018-11-16,2018-11-16
127250232,1935-01-01,2018-11-16,2018-11-16
128053180,1936-01-01,2018-11-16,2018-11-16
128824829,1937-01-01,2018-11-16,2018-11-16
129824939,1938-01-01,2018-11-16,2018-11-16
130879718,1939-01-01,2018-11-16,2018-11-16
132122446,1940-01-01,2018-11-16,2018-11-16
133402471,1941-01-01,2018-11-16,2018-11-16
134859553,1942-01-01,2018-11-16,2018-11-16
136739353,1943-01-01,2018-11-16,2018-11-16
138397345,1944-01-01,2018-11-16,2018-11-16
139928165,1945-01-01,2018-11-16,2018-11-16
141388566,1946-01-01,2018-11-16,2018-11-16
144126071,1947-01-01,2018-11-16,2018-11-16
146631302,1948-01-01,2018-11-16,2018-11-16
149188130,1949-01-01,2018-11-16,2018-11-16
152271417,1950-01-01,2018-11-16,2018-11-16
154877889,1951-01-01,2018-11-16,2018-11-16
157552740,1952-01-01,2018-11-16,2018-11-16
160184192,1953-01-01,2018-11-16,2018-11-16
163025854,1954-01-01,2018-11-16,2018-11-16
165931202,1955-01-01,2018-11-16,2018-11-16
168903031,1956-01-01,2018-11-16,2018-11-16
171984130,1957-01-01,2018-11-16,2018-11-16
174881904,1958-01-01,2018-11-16,2018-11-16
177829628,1959-01-01,2018-11-16,2018-11-16
180671158,1960-01-01,2018-11-16,2018-11-16
183691481,1961-01-01,2018-11-16,2018-11-16
186537737,1962-01-01,2018-11-16,2018-11-16
189241798,1963-01-01,2018-11-16,2018-11-16
191888791,1964-01-01,2018-11-16,2018-11-16
194302963,1965-01-01,2018-11-16,2018-11-16
196560338,1966-01-01,2018-11-16,2018-11-16
198712056,1967-01-01,2018-11-16,2018-11-16
200706052,1968-01-01,2018-11-16,2018-11-16
202676946,1969-01-01,2018-11-16,2018-11-16
205052174,1970-01-01,2018-11-16,2018-11-16
207660677,1971-01-01,2018-11-16,2018-11-16
209896021,1972-01-01,2018-11-16,2018-11-16
211908788,1973-01-01,2018-11-16,2018-11-16
213853928,1974-01-01,2018-11-16,2018-11-16
215973199,1975-01-01,2018-11-16,2018-11-16
218035164,1976-01-01,2018-11-16,2018-11-16
220239425,1977-01-01,2018-11-16,2018-11-16
222584545,1978-01-01,2018-11-16,2018-11-16
225055487,1979-01-01,2018-11-16,2018-11-16
227224681,1980-01-01,2018-11-16,2018-11-16
229465714,1981-01-01,2018-11-16,2018-11-16
231664458,1982-01-01,2018-11-16,2018-11-16
233791994,1983-01-01,2018-11-16,2018-11-16
235824902,1984-01-01,2018-11-16,2018-11-16
237923795,1985-01-01,2018-11-16,2018-11-16
240132887,1986-01-01,2018-11-16,2018-11-16
242288918,1987-01-01,2018-11-16,2018-11-16
244498982,1988-01-01,2018-11-16,2018-11-16
246819230,1989-01-01,2018-11-16,2018-11-16
249464396,1990-01-01,2018-11-16,2018-11-16
252153092,1991-01-01,2018-11-16,2018-11-16
255029699,1992-01-01,2018-11-16,2018-11-16
257782608,1993-01-01,2018-11-16,2018-11-16
260327021,1994-01-01,2018-11-16,2018-11-16
262803276,1995-01-01,2018-11-16,2018-11-16
265228572,1996-01-01,2018-11-16,2018-11-16
267783607,1997-01-01,2018-11-16,2018-11-16
270248003,1998-01-01,2018-11-16,2018-11-16
272690813,1999-01-01,2018-11-16,2018-11-16
