 27th,BLAKE,2010,1
 27th,WALNUT,2010,1
 33rd,BLAKE,2010,1
 33rd,WALNUT,2010,1
 ARKANSAS AVE & BUCHTEL BLVD,S EMERSON ST,2015,1
 E IOWA AVE & E FLORIDA AVE,S LOGAN ST,2015,1
 S LOWELL ,W MISSISSIPPI AVE,2014,1
 VINE ST & FRANKLIN ST,E 20TH AVE,2015,1
1-25 SOUTH BOUND,UNIVERSITY BLVD,2007,4
10th AVE,FEDERAL BLVD,2011,2
11TH AVE,QUEBEC ST.,2010,4
11TH AVE,SPEER BLVD,2009,8
11TH AVE,SYRACUSE ST,2008,8
11TH AVE,SYRACUSE ST,2010,4
11TH AVE,UINTA,2006,2
11TH AVE,YOSEMITE ST,2010,4
12th AVE,N COLORADO BLVD,2014,1
1300 SOUTH,PLATTE RIVER DR,2009,1
13TH AVE,N FRANKLIN ST,2006,12
13TH AVE,N GILPIN ST,2006,12
13TH AVE,SPEER BLVD,2009,8
13TH ST,FRANKLIN ST,2006,11
13TH ST & 14TH ST,ARAPAHOE ST,2015,1
14TH ST,FRANKLIN ST,2006,1
14TH ST & 13TH ST,ARAPAHOE ST,2015,1
14th Ave,BANNOCK ST,2010,1
15th ST.,LARIMER ST.,2013,1
16TH AND 17TH,N JOSEPHINE ST,2009,4
16TH AND 17TH,N YORK ST,2009,4
16TH AND 17TH ST,ARAPAHOE ST,2009,4
17TH  AVE,MADISON ST,2008,3
17TH AVE/MONTVIEW,MONACO PKWY,2009,2
17th AVE,N COLORADO BLVD,2014,2
17th ST & 16th ST,ARAPAHOE ST,2013,1
17th ST & 18th ST,ARAPAHOE ST,2013,1
17th ST & 18th ST,CENTRAL ST ,2011,2
18TH ST,CALIFORNIA ,2006,3
18TH ST,STOUT ST,2006,3
18th AVE & 17th AVE,BELLAIRE ST,2011,2
19TH ST,STOUT ST,2006,2
19TH ST & 20TH ST,LAWRENCE ST,2015,1
19th ST. & 20th ST.,LITTLE RAVEN ST.,2012,2
1ST AVE,DOWNING ST,2009,2
1ST AVE,EMERSON ST,2009,1
1ST AVE,LOGAN ST,2009,1
1ST AVE,MILWAUKEE,2006,2
1ST AVE,QUEBEC ST.,2010,4
1ST AVE,WASHINGTON ST,2009,1
1ST AVE,YOSEMITE ST,2010,2
1ST AVENUE,UNIVERSITY BLVD,2007,18
20th AVE,VINE ST,2010,2
21st AVE,VINE ST,2010,2
22ND AND 21ST,TREMONT ST,2009,4
22ND ST & PAW,CHAMPA,2011,1
22ND ST & PAW,STOUT,2011,1
23RD AVE,HIGH ST,2006,1
23RD AVE,HUMBOLDT ST,2006,1
25th ST & 26th ST,CHAMPA ST ,2014,1
25th ST & 26th ST,STOUT ST,2014,1
25th ST.,CALIFORNIA,2011,2
26TH,IRVING,2008,2
26TH AVE,CENTRAL PARK BLVD,2010,4
26TH AVE,QUEBEC ST.,2010,4
26TH AVE,SYRACUSE ST,2010,3
26th AVE., WALNUT ST.,2012,1
28th AVE,N. CHERRY ST,2012,4
28th AVE,ROSLYN ST,2010,1
28th AVE,SYRACUSE,2010,1
28th ST. & 27th ST.,LARIMER ST.,2012,2
28th ST. & 29th ST.,STOUT ST,2014,1
29TH,IRVING,2008,2
29TH AVE,N LOWELL BLVD,2006,2
29th Ave,CENTRAL PARK BLVD,2011,2
29th Ave,HAVANA ,2011,1
29th Ave,MARTIN LUTHER KING BLVD,2010,1
29th PL,ROSLYN ST,2010,1
29th PL,SYRACUSE,2010,1
2ND AVE,DETROIT,2006,2
2ND AVE,FILLMORE,2006,2
2ND AVE,MILWAUKEE,2006,2
30TH AVE,ZUNI,2006,4
30th ST. & 31st ST.,CHAMPA ST ,2014,1
30th ST. & 31st ST.,LARIMER ST.,2012,2
31st ST & 32nd ST,CHAMPA,2011,1
31st ST & 32nd ST,STOUT,2011,1
31st ST.,RINGSBY CT,2011,2
32ND AVE,CLAY ST,2006,2
32ND AVE,CLAY ST,2007,1
32ND AVE,CLAY ST,2008,1
33RD AVE,DOWNING ST,2006,1
33rd AVE & MLK BLVD,CENTRAL PARK BLVD ,2013,1
